"bdgt_id","chan1_name","client_id","chan1_id","dma1_id","sp_min_h","percent_max","sp_max_h"
"243_146","Network TV",47,243,146,NULL,NULL,NULL
"244_146","Display",47,244,146,NULL,NULL,NULL
"247_146","Local Radio",47,247,146,NULL,NULL,NULL
"276_146","Network Radio",47,276,146,NULL,NULL,NULL
"289_146","Social",47,289,146,NULL,NULL,NULL
"410_146","Email",47,410,146,NULL,NULL,NULL
"445_146","SMS",47,445,146,NULL,NULL,NULL
"451_146","Cable TV",47,451,146,NULL,NULL,NULL
"452_146","Hispanic TV",47,452,146,NULL,NULL,NULL
"453_146","Hispanic Radio",47,453,146,NULL,NULL,NULL
"454_146","National Print",47,454,146,NULL,NULL,NULL
"455_146","Cinema",47,455,146,NULL,NULL,NULL
"456_146","Local Print",47,456,146,NULL,NULL,NULL
"457_146","Dirent Mail",47,457,146,NULL,NULL,NULL
"458_146","Hispanic Display",47,458,146,NULL,NULL,NULL
"459_146","Search - Branded",47,459,146,NULL,NULL,NULL
"460_146","Search - non Branded",47,460,146,NULL,NULL,NULL
"461_146","Video",47,461,146,NULL,NULL,NULL
"6_146","OOH",47,6,146,NULL,NULL,NULL
