"chan1_id","dma1_id","chan1_name","dma1_name","bdgt_id","cps"
291,1,"Cable TV","National","291_1",""
295,1,"Cinema","National","295_1",""
297,1,"Dirent Mail","National","297_1",""
75,1,"Display","National","75_1",""
266,1,"Email","National","266_1",""
298,1,"Hispanic Display","National","298_1",""
293,1,"Hispanic Radio","National","293_1",""
292,1,"Hispanic TV","National","292_1",""
296,1,"Local Print","National","296_1",""
91,1,"Local Radio","National","91_1",""
294,1,"National Print","National","294_1",""
149,1,"Network Radio","National","149_1",""
88,1,"Network TV","National","88_1",""
33,1,"OOH","National","33_1",""
285,1,"SMS","National","285_1",""
299,1,"Search - Branded","National","299_1",""
300,1,"Search - non Branded","National","300_1",""
144,1,"Social","National","144_1",""
301,1,"Video","National","301_1",""
